Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Expertise level: ranges from 0 (none) to 2(has used abacus)
1,1,75,1,3,1,0.534,0,0,2,312,1,IN/Out,0
0,2,70,2,1,1,0.631,0,0,2,312,1,IN/Out,0
1,4,890,3,7,1,0.948,0,0,3,312,1,leading/trailing,0
0,2,74,1,1,1,1.07,0,0,3,312,1,IN/Out,0
0,1,16,2,2,1,0.623,0,0,2,312,1,IN/Out,0
1,3,64,1,5,1,1.07,0,0,3,312,1,leading/trailing,0
0,1,25,2,2,1,0.917,0,0,2,312,1,IN/Out,0
1,2,1,1,6,1,1.3,0,0,3,312,1,IN/Out,0
1,4,50,2,7,1,0.815,0,0,2,312,1,leading/trailing,0
1,1,875,1,3,1,0.661,0,0,3,312,1,IN/Out,0
1,1,509,3,5,1,0.687,0,0,3,312,1,IN/Out,0
1,2,10,2,6,0,0.698,0,0,2,312,1,IN/Out,0
0,3,7,1,1,1,0.543,0,0,2,312,1,leading/trailing,0
1,4,140,3,7,1,1.8,0,0,3,312,1,leading/trailing,0
0,4,930,3,1,1,0.834,0,0,3,312,1,leading/trailing,0
1,1,24,1,3,1,1.1,0,0,2,312,1,IN/Out,0
1,3,78,1,7,1,0.881,0,0,3,312,1,leading/trailing,0
1,4,30,2,7,1,1.03,0,0,2,312,1,leading/trailing,0
1,4,350,3,6,1,1.07,0,0,3,312,1,leading/trailing,0
0,3,1,1,1,1,1.59,0,0,2,312,1,leading/trailing,0
1,3,96,1,4,1,0.887,0,0,3,312,1,leading/trailing,0
1,1,341,2,4,1,0.794,0,0,3,312,1,IN/Out,0
1,2,379,2,6,1,1.09,0,0,3,312,1,IN/Out,0
1,3,1,1,5,1,0.663,0,0,2,312,1,leading/trailing,0
1,4,70,2,5,1,0.683,0,0,2,312,1,leading/trailing,0
1,3,18,1,4,1,0.887,0,0,3,312,1,leading/trailing,0
1,4,80,2,6,1,0.746,0,0,2,312,1,leading/trailing,0
1,4,870,3,4,1,0.57,0,0,3,312,1,leading/trailing,0
1,2,876,3,7,1,0.802,0,0,3,312,1,IN/Out,0
0,3,21,1,1,1,1.05,0,0,3,312,1,leading/trailing,0
0,4,830,3,1,0,1.07,0,0,3,312,1,leading/trailing,0
0,2,36,1,1,1,1.01,0,0,2,312,1,IN/Out,0
1,3,9,1,6,1,0.946,0,0,2,312,1,leading/trailing,0
0,4,10,2,1,1,0.946,0,0,2,312,1,leading/trailing,0
1,1,119,3,3,1,0.681,0,0,3,312,1,IN/Out,0
1,4,50,2,6,1,0.886,0,0,2,312,1,leading/trailing,0
1,2,55,2,5,1,0.655,0,0,2,312,1,IN/Out,0
1,1,978,3,4,1,1.1,0,0,3,312,1,IN/Out,0
0,3,45,1,1,1,1.72,0,0,3,312,1,leading/trailing,0
1,4,20,2,6,1,0.877,0,0,2,312,1,leading/trailing,0
1,1,30,1,5,1,0.752,0,0,2,312,1,IN/Out,0
0,3,2,1,1,1,1.08,0,0,2,312,1,leading/trailing,0
1,1,97,1,4,1,0.904,0,0,2,312,1,IN/Out,0
1,3,5,1,6,1,0.803,0,0,2,312,1,leading/trailing,0
1,1,447,3,3,1,0.889,0,0,3,312,1,IN/Out,0
1,3,79,1,5,1,0.977,0,0,3,312,1,leading/trailing,0
0,4,140,3,1,1,1.17,0,0,3,312,1,leading/trailing,0
1,3,69,1,6,1,1.08,0,0,3,312,1,leading/trailing,0
0,3,39,1,1,1,1.37,0,0,3,312,1,leading/trailing,0
0,2,498,1,1,1,2.31,0,0,3,312,1,IN/Out,0
1,2,964,2,7,1,1.27,0,0,3,312,1,IN/Out,0
1,2,904,2,6,1,0.687,0,0,3,312,1,IN/Out,0
1,2,233,1,6,1,1.1,0,0,3,312,1,IN/Out,0
0,4,940,3,1,1,0.729,0,0,3,312,1,leading/trailing,0
1,1,95,1,3,1,0.803,0,0,2,312,1,IN/Out,0
1,4,880,3,4,1,0.714,0,0,3,312,1,leading/trailing,0
0,1,748,3,2,1,0.737,0,0,3,312,1,IN/Out,0
1,3,9,1,4,1,0.803,0,0,2,312,1,leading/trailing,0
1,3,21,1,4,1,1.09,0,0,3,312,1,leading/trailing,0
0,1,724,1,2,1,0.691,0,0,3,312,1,IN/Out,0
1,4,10,2,7,1,0.98,0,0,2,312,1,leading/trailing,0
0,2,92,2,1,1,0.675,0,0,2,312,1,IN/Out,0
1,2,76,2,6,1,1.21,0,0,2,312,1,IN/Out,0
1,4,320,3,7,1,1.18,0,0,3,312,1,leading/trailing,0
1,1,56,2,3,1,0.655,0,0,2,312,1,IN/Out,0
1,2,41,2,5,1,0.598,0,0,2,312,1,IN/Out,0
1,1,10,1,3,1,1.4,0,0,2,312,1,IN/Out,0
1,4,70,2,7,1,0.736,0,0,2,312,1,leading/trailing,0
1,3,26,1,4,1,1.19,0,0,3,312,1,leading/trailing,0
1,3,9,1,7,1,0.711,0,0,2,312,1,leading/trailing,0
1,1,10,1,3,1,0.561,0,0,2,312,1,IN/Out,0
0,2,10,1,1,1,0.738,0,0,2,312,1,IN/Out,0
1,3,45,1,5,1,3.21,0,0,3,312,1,leading/trailing,0
0,3,6,1,1,1,1.07,0,0,2,312,1,leading/trailing,0
1,2,96,3,7,1,1.09,0,0,3,312,1,IN/Out,0
1,1,57,3,3,1,0.664,0,0,3,312,1,IN/Out,0
1,1,95,1,6,1,0.786,0,0,2,312,1,IN/Out,0
0,4,30,2,1,1,0.684,0,0,2,312,1,leading/trailing,0
1,1,746,3,3,1,1.36,0,0,3,312,1,IN/Out,0
1,3,6,1,6,1,0.693,0,0,2,312,1,leading/trailing,0
1,4,750,3,7,1,0.652,0,0,3,312,1,leading/trailing,0
1,4,610,3,4,1,0.554,0,0,3,312,1,leading/trailing,0
1,2,922,2,7,1,0.665,0,0,3,312,1,IN/Out,0
1,4,950,3,5,1,0.631,0,0,3,312,1,leading/trailing,0
1,1,570,2,3,1,0.555,0,0,3,312,1,IN/Out,0
1,1,67,1,3,1,0.789,0,0,2,312,1,IN/Out,0
0,1,64,1,2,1,0.517,0,0,2,312,1,IN/Out,0
1,2,2,2,6,1,0.781,0,0,2,312,1,IN/Out,0
0,4,50,2,1,0,0.812,0,0,2,312,1,leading/trailing,0
1,1,97,1,6,1,2.42,0,0,2,313,1,IN/Out,0
0,4,470,3,1,1,1.46,0,0,3,313,1,leading/trailing,0
1,2,560,1,5,1,1.22,0,0,3,313,1,IN/Out,0
1,2,13,1,6,1,1.03,0,0,2,313,1,IN/Out,0
1,1,98,1,3,1,1.17,0,0,2,313,1,IN/Out,0
1,3,9,1,7,1,1.02,0,0,2,313,1,leading/trailing,0
1,2,3,1,6,1,1.18,0,0,2,313,1,IN/Out,0
1,2,851,2,7,1,1.18,0,0,3,313,1,IN/Out,0
1,3,82,1,7,1,1.26,0,0,3,313,1,leading/trailing,0
1,4,430,3,5,1,1.28,0,0,3,313,1,leading/trailing,0
1,1,89,1,3,1,0.676,0,0,2,313,1,IN/Out,0
1,2,73,1,6,0,0.832,0,0,2,313,1,IN/Out,0
0,1,48,2,2,1,1.5,0,0,2,313,1,IN/Out,0
1,1,980,2,4,1,0.991,0,0,3,313,1,IN/Out,0
0,4,460,3,1,1,1.99,0,0,3,313,1,leading/trailing,0
0,3,85,1,1,1,1.52,0,0,3,313,1,leading/trailing,0
1,1,75,2,4,1,0.937,0,0,3,313,1,IN/Out,0
1,2,74,1,6,1,0.962,0,0,2,313,1,IN/Out,0
1,1,93,1,4,1,0.8,0,0,2,313,1,IN/Out,0
1,4,60,2,4,1,0.608,0,0,2,313,1,leading/trailing,0
0,1,6,2,2,1,0.757,0,0,2,313,1,IN/Out,0
0,2,34,1,1,1,0.911,0,0,2,313,1,IN/Out,0
1,1,101,3,3,1,0.72,0,0,3,313,1,IN/Out,0
0,3,6,1,1,1,1.14,0,0,2,313,1,leading/trailing,0
0,4,90,2,1,1,0.666,0,0,2,313,1,leading/trailing,0
1,2,10,2,4,1,0.728,0,0,2,313,1,IN/Out,0
1,1,54,2,6,1,1.12,0,0,2,313,1,IN/Out,0
1,3,8,1,6,1,1,0,0,2,313,1,leading/trailing,0
1,4,810,3,4,1,1.04,0,0,3,313,1,leading/trailing,0
1,4,570,3,4,1,0.845,0,0,3,313,1,leading/trailing,0
0,2,640,3,1,0,0.658,0,0,3,313,1,IN/Out,0
1,3,2,1,6,1,1.08,0,0,2,313,1,leading/trailing,0
0,4,80,2,1,1,0.929,0,0,2,313,1,leading/trailing,0
1,1,534,3,4,1,0.883,0,0,3,313,1,IN/Out,0
0,3,32,1,1,1,0.885,0,0,3,313,1,leading/trailing,0
1,4,30,2,6,1,0.977,0,0,2,313,1,leading/trailing,0
1,3,5,1,7,1,1.49,0,0,2,313,1,leading/trailing,0
1,1,54,2,3,1,0.777,0,0,2,313,1,IN/Out,0
0,2,64,2,1,1,0.727,0,0,2,313,1,IN/Out,0
1,3,3,1,5,1,0.976,0,0,2,313,1,leading/trailing,0
1,3,99,1,6,1,1.02,0,0,3,313,1,leading/trailing,0
1,1,96,2,3,1,0.788,0,0,2,313,1,IN/Out,0
1,3,3,1,4,1,0.762,0,0,2,313,1,leading/trailing,0
1,3,23,1,6,1,2.06,0,0,3,313,1,leading/trailing,0
1,3,69,1,6,1,0.737,0,0,3,313,1,leading/trailing,0
1,1,89,2,4,1,0.805,0,0,2,313,1,IN/Out,0
0,4,930,3,1,1,1.05,0,0,3,313,1,leading/trailing,0
1,2,446,3,5,1,0.819,0,0,3,313,1,IN/Out,0
1,2,826,3,6,1,0.672,0,0,3,313,1,IN/Out,0
1,3,85,1,5,1,0.759,0,0,3,313,1,leading/trailing,0
1,2,68,1,5,1,0.694,0,0,2,313,1,IN/Out,0
1,1,32,2,4,1,0.542,0,0,2,313,1,IN/Out,0
1,3,87,1,6,1,0.849,0,0,3,313,1,leading/trailing,0
0,1,119,3,2,1,0.948,0,0,3,313,1,IN/Out,0
0,3,69,1,1,1,0.796,0,0,3,313,1,leading/trailing,0
0,3,6,1,1,1,0.682,0,0,2,313,1,leading/trailing,0
1,4,540,3,6,1,1.52,0,0,3,313,1,leading/trailing,0
1,4,30,2,5,1,0.603,0,0,2,313,1,leading/trailing,0
0,1,80,1,2,1,0.601,0,0,2,313,1,IN/Out,0
1,3,7,1,5,1,0.777,0,0,2,313,1,leading/trailing,0
0,1,908,1,2,1,0.885,0,0,3,313,1,IN/Out,0
1,1,326,1,4,0,0.744,0,0,3,313,1,IN/Out,0
1,4,30,2,5,1,0.811,0,0,2,313,1,leading/trailing,0
1,3,2,1,4,1,0.721,0,0,2,313,1,leading/trailing,0
1,3,79,1,4,1,0.56,0,0,3,313,1,leading/trailing,0
1,3,43,1,7,1,0.777,0,0,3,313,1,leading/trailing,0
1,4,80,2,6,1,0.961,0,0,2,313,1,leading/trailing,0
0,2,12,1,1,1,1.24,0,0,2,313,1,IN/Out,0
1,4,350,3,4,1,0.889,0,0,3,313,1,leading/trailing,0
1,4,80,2,4,1,0.724,0,0,2,313,1,leading/trailing,0
1,2,52,1,5,0,0.861,0,0,2,313,1,IN/Out,0
1,3,22,1,4,0,0.992,0,0,3,313,1,leading/trailing,0
1,1,373,3,3,1,1.05,0,0,3,313,1,IN/Out,0
1,2,17,1,6,1,1.11,0,0,2,313,1,IN/Out,0
1,1,36,1,5,1,0.772,0,0,2,313,1,IN/Out,0
1,4,80,2,7,1,0.797,0,0,2,313,1,leading/trailing,0
1,4,910,3,4,1,0.641,0,0,3,313,1,leading/trailing,0
1,2,568,2,7,1,1.02,0,0,3,313,1,IN/Out,0
1,4,60,2,4,1,0.859,0,0,2,313,1,leading/trailing,0
1,4,50,2,5,1,0.862,0,0,2,313,1,leading/trailing,0
0,2,1,2,1,1,1.03,0,0,2,313,1,IN/Out,0
1,1,351,1,5,1,1.28,0,0,3,313,1,IN/Out,0
1,2,447,3,6,1,1.18,0,0,3,313,1,IN/Out,0
1,4,260,3,6,1,2.61,0,0,3,313,1,leading/trailing,0
1,1,73,1,4,1,0.957,0,0,2,313,1,IN/Out,0
1,4,30,2,4,1,0.717,0,0,2,313,1,leading/trailing,0
1,1,685,1,3,1,1.09,0,0,3,313,1,IN/Out,0
1,4,10,2,5,1,0.888,0,0,2,313,1,leading/trailing,0
1,2,250,2,6,1,1.32,0,0,3,313,1,IN/Out,0
1,2,95,2,6,1,0.923,0,0,2,313,1,IN/Out,0
1,2,60,1,6,1,0.668,0,0,2,313,1,IN/Out,0
0,4,60,2,1,1,0.902,0,0,2,313,1,leading/trailing,0
0,1,896,3,2,1,0.664,0,0,3,313,1,IN/Out,0
1,3,2,1,5,1,0.771,0,0,2,313,1,leading/trailing,0
1,1,466,1,5,1,0.746,0,0,3,313,1,IN/Out,0
1,4,570,3,4,1,0.69,0,0,3,313,1,leading/trailing,0
0,2,372,3,1,1,0.74,0,0,3,313,1,IN/Out,0
1,3,74,1,7,1,0.862,0,0,3,313,1,leading/trailing,0
1,3,1,1,5,1,0.623,0,0,2,313,1,leading/trailing,0
1,2,93,2,7,1,0.895,0,0,2,313,1,IN/Out,0
1,1,128,1,3,1,0.663,0,0,3,313,1,IN/Out,0
1,4,920,3,6,1,1.52,0,0,3,313,1,leading/trailing,0
0,1,28,2,2,1,0.859,0,0,2,313,1,IN/Out,0
1,2,344,1,7,1,0.9,0,0,3,313,1,IN/Out,0
0,2,308,1,1,1,1.39,0,0,3,313,1,IN/Out,0
0,1,842,1,2,1,0.763,0,0,3,313,1,IN/Out,0
0,2,89,1,1,1,0.93,0,0,3,313,1,IN/Out,0
1,1,603,3,4,1,0.956,0,0,3,313,1,IN/Out,0
1,4,390,3,7,1,0.62,0,0,3,313,1,leading/trailing,0
1,3,44,1,7,0,0.76,0,0,3,313,1,leading/trailing,0
1,4,880,3,7,1,1.51,0,0,3,313,1,leading/trailing,0
1,3,1,1,6,1,1.03,0,0,2,313,1,leading/trailing,0
0,3,9,1,1,1,1.4,0,0,2,313,1,leading/trailing,0
1,2,679,1,6,1,1.64,0,0,3,313,1,IN/Out,0
1,3,57,1,7,1,1.06,0,0,3,313,1,leading/trailing,0
0,3,57,1,1,0,0.663,0,0,3,313,1,leading/trailing,0
0,3,8,1,1,1,0.88,0,0,2,313,1,leading/trailing,0
1,1,40,1,4,1,1.07,0,0,2,313,1,IN/Out,0
1,2,654,2,7,1,0.859,0,0,3,313,1,IN/Out,0
1,3,5,1,5,0,0.887,0,0,2,313,1,leading/trailing,0
1,4,140,3,4,1,1.11,0,0,3,313,1,leading/trailing,0
1,2,30,3,5,1,1.16,0,0,3,313,1,IN/Out,0
1,4,40,2,6,1,0.746,0,0,2,313,1,leading/trailing,0
0,4,750,3,1,1,0.93,0,0,3,313,1,leading/trailing,0
1,2,19,1,6,1,0.954,0,0,2,313,1,IN/Out,0
0,4,90,2,1,1,1.41,0,0,2,313,1,leading/trailing,0
1,2,501,2,4,1,0.967,0,0,3,313,1,IN/Out,0
1,1,309,1,5,1,0.667,0,0,3,313,1,IN/Out,0
1,3,92,1,7,1,2.44,0,0,3,314,1,leading/trailing,0
1,1,321,2,3,1,0.921,0,0,3,314,1,IN/Out,0
1,1,131,2,3,1,0.518,0,0,3,314,1,IN/Out,0
1,1,9,2,4,1,0.742,0,0,2,314,1,IN/Out,0
0,1,25,2,2,1,0.709,0,0,2,314,1,IN/Out,0
1,2,728,2,6,1,1.37,0,0,3,314,1,IN/Out,0
1,1,841,2,5,1,0.567,0,0,3,314,1,IN/Out,0
1,4,50,2,5,1,0.815,0,0,2,314,1,leading/trailing,0
1,4,10,2,6,1,0.948,0,0,2,314,1,leading/trailing,0
1,4,70,2,6,1,0.846,0,0,2,314,1,leading/trailing,0
1,4,10,2,7,1,0.818,0,0,2,314,1,leading/trailing,0
1,2,63,1,7,1,0.968,0,0,2,314,1,IN/Out,0
1,2,9,1,7,1,0.704,0,0,2,314,1,IN/Out,0
0,4,690,3,1,1,1.93,0,0,3,314,1,leading/trailing,0
1,2,9,1,6,1,0.89,0,0,2,314,1,IN/Out,0
1,1,748,3,4,1,0.788,0,0,3,314,1,IN/Out,0
1,1,15,1,3,1,0.803,0,0,2,314,1,IN/Out,0
1,1,824,1,4,1,0.714,0,0,3,314,1,IN/Out,0
1,2,274,2,7,1,0.804,0,0,3,314,1,IN/Out,0
1,2,24,1,6,1,1.05,0,0,2,314,1,IN/Out,0
1,4,560,3,4,1,0.519,0,0,3,314,1,leading/trailing,0
1,3,1,1,5,1,0.682,0,0,2,314,1,leading/trailing,0
0,2,822,2,1,1,1.96,0,0,3,314,1,IN/Out,0
1,4,50,2,5,1,0.691,0,0,2,314,1,leading/trailing,0
1,3,4,1,5,1,0.67,0,0,2,314,1,leading/trailing,0
0,4,20,2,1,1,1.4,0,0,2,314,1,leading/trailing,0
1,4,80,2,7,1,0.751,0,0,2,314,1,leading/trailing,0
1,2,353,2,6,1,0.704,0,0,3,314,1,IN/Out,0
1,2,349,1,7,1,0.873,0,0,3,314,1,IN/Out,0
1,1,831,1,5,1,1.35,0,0,3,314,1,IN/Out,0
1,1,223,1,3,1,0.989,0,0,3,314,1,IN/Out,0
0,4,30,2,1,1,1.53,0,0,2,314,1,leading/trailing,0
1,4,10,2,4,1,0.684,0,0,2,314,1,leading/trailing,0
1,3,56,1,5,1,0.757,0,0,3,314,1,leading/trailing,0
1,3,48,1,4,1,0.623,0,0,3,314,1,leading/trailing,0
0,3,45,1,1,1,2.08,0,0,3,314,1,leading/trailing,0
1,2,409,2,7,1,1.55,0,0,3,314,1,IN/Out,0
1,2,10,1,6,0,0.963,0,0,2,314,1,IN/Out,0
0,3,6,1,1,1,1.78,0,0,2,314,1,leading/trailing,0
1,4,170,3,5,1,0.88,0,0,3,314,1,leading/trailing,0
1,3,2,1,5,1,1.22,0,0,2,314,1,leading/trailing,0
0,2,36,1,1,1,2.51,0,0,2,314,1,IN/Out,0
1,1,25,1,4,1,0.796,0,0,2,314,1,IN/Out,0
1,2,518,1,6,1,0.775,0,0,3,314,1,IN/Out,0
0,4,40,2,1,1,1.08,0,0,2,314,1,leading/trailing,0
1,1,954,3,4,0,0.809,0,0,3,314,1,IN/Out,0
0,2,140,1,1,1,3.59,0,0,3,314,1,IN/Out,0
1,3,59,1,6,1,1.02,0,0,3,314,1,leading/trailing,0
0,1,571,2,2,1,0.76,0,0,3,314,1,IN/Out,0
0,2,84,2,1,1,1.1,0,0,2,314,1,IN/Out,0
0,1,557,2,2,1,1.84,0,0,3,314,1,IN/Out,0
1,3,1,1,4,1,0.841,0,0,2,314,1,leading/trailing,0
0,4,90,2,1,1,1.19,0,0,2,314,1,leading/trailing,0
1,2,23,1,6,1,1.08,0,0,2,314,1,IN/Out,0
1,2,388,2,7,1,0.932,0,0,3,314,1,IN/Out,0
1,3,32,1,4,1,1.17,0,0,3,314,1,leading/trailing,0
1,4,40,2,7,1,1.13,0,0,2,314,1,leading/trailing,0
1,4,370,3,4,1,0.954,0,0,3,314,1,leading/trailing,0
1,4,760,3,5,1,0.628,0,0,3,314,1,leading/trailing,0
1,2,24,1,6,1,1.05,0,0,2,314,1,IN/Out,0
1,2,26,2,7,1,0.724,0,0,2,314,1,IN/Out,0
1,3,1,1,7,1,0.797,0,0,2,314,1,leading/trailing,0
1,2,801,2,5,1,0.707,0,0,3,314,1,IN/Out,0
1,1,35,1,4,1,1.11,0,0,2,314,1,IN/Out,0
1,3,27,1,5,1,0.798,0,0,3,314,1,leading/trailing,0
0,2,479,1,1,1,1.64,0,0,3,314,1,IN/Out,0
1,4,280,3,4,1,0.767,0,0,3,314,1,leading/trailing,0
1,3,11,1,7,1,1.24,0,0,3,314,1,leading/trailing,0
1,1,56,2,3,1,0.851,0,0,2,314,1,IN/Out,0
0,2,20,1,1,1,0.629,0,0,2,314,1,IN/Out,0
0,1,91,1,2,1,0.652,0,0,2,314,1,IN/Out,0
1,3,32,1,4,1,0.719,0,0,3,314,1,leading/trailing,0
0,1,84,1,2,1,0.64,0,0,2,314,1,IN/Out,0
0,3,94,1,1,0,0.909,0,0,3,314,1,leading/trailing,0
0,4,750,3,1,1,0.517,0,0,3,314,1,leading/trailing,0
1,1,47,1,3,1,0.93,0,0,2,314,1,IN/Out,0
1,2,225,1,7,1,0.851,0,0,3,314,1,IN/Out,0
1,1,27,1,4,1,1.42,0,0,2,314,1,IN/Out,0
1,3,3,1,5,1,0.594,0,0,2,314,1,leading/trailing,0
0,1,27,2,2,1,1.07,0,0,2,314,1,IN/Out,0
1,3,53,1,4,1,0.731,0,0,3,314,1,leading/trailing,0
1,1,20,1,3,1,0.622,0,0,2,314,1,IN/Out,0
1,2,74,1,7,1,0.915,0,0,2,314,1,IN/Out,0
1,4,20,2,4,1,0.796,0,0,2,314,1,leading/trailing,0
1,4,770,3,7,1,0.561,0,0,3,314,1,leading/trailing,0
1,1,106,1,3,1,1.29,0,0,3,314,1,IN/Out,0
0,4,640,3,1,1,0.921,0,0,3,314,1,leading/trailing,0
1,3,7,1,6,1,0.819,0,0,2,314,1,leading/trailing,0
1,4,710,3,7,1,0.79,0,0,3,314,1,leading/trailing,0
0,2,803,3,1,1,7.67,0,0,3,314,1,IN/Out,0
0,1,156,3,2,1,0.53,0,0,3,314,1,IN/Out,0
1,4,930,3,6,1,1.14,0,0,3,314,1,leading/trailing,0
0,4,130,3,1,1,0.937,0,0,3,314,1,leading/trailing,0
1,4,960,3,7,1,1.08,0,0,3,314,1,leading/trailing,0
1,4,850,3,6,1,1.84,0,0,3,314,1,leading/trailing,0
1,1,99,1,3,1,1,0,0,2,314,1,IN/Out,0
1,3,18,1,6,1,0.884,0,0,3,314,1,leading/trailing,0
1,3,85,1,7,1,1.55,0,0,3,314,1,leading/trailing,0
0,3,92,1,1,1,1.32,0,0,3,314,1,leading/trailing,0
0,2,20,1,1,1,0.863,0,0,2,314,1,IN/Out,0
1,4,70,2,7,1,1.53,0,0,2,314,1,leading/trailing,0
1,1,29,2,6,1,0.865,0,0,2,314,1,IN/Out,0
1,4,710,3,7,1,1.4,0,0,3,314,1,leading/trailing,0
1,3,5,1,5,1,0.745,0,0,2,314,1,leading/trailing,0
1,2,900,2,7,1,0.847,0,0,3,314,1,IN/Out,0
1,2,674,2,7,1,1.08,0,0,3,314,1,IN/Out,0
1,3,4,1,6,1,0.728,0,0,2,314,1,leading/trailing,0
1,2,80,2,7,1,0.648,0,0,2,314,1,IN/Out,0
1,3,6,1,7,1,0.779,0,0,2,314,1,leading/trailing,0
1,2,81,2,5,1,0.907,0,0,2,314,1,IN/Out,0
1,4,110,3,5,1,1.19,0,0,3,314,1,leading/trailing,0
0,3,7,1,1,1,1.84,0,0,2,314,1,leading/trailing,0
1,4,70,2,5,1,1.46,0,0,2,314,1,leading/trailing,0
1,3,2,1,4,1,1.16,0,0,2,314,1,leading/trailing,0
1,3,92,1,6,0,0.892,0,0,3,314,1,leading/trailing,0
0,3,27,1,1,1,3.74,0,0,3,314,1,leading/trailing,0
0,3,8,1,1,1,0.634,0,0,2,314,1,leading/trailing,0
1,1,281,2,3,1,1.65,0,0,3,314,1,IN/Out,0
0,3,3,1,1,1,1.1,0,0,2,314,1,leading/trailing,0
0,1,46,3,2,1,0.906,0,0,3,314,1,IN/Out,0
1,1,720,2,3,1,1.51,0,0,3,314,1,IN/Out,0
1,2,57,1,7,1,1.72,0,0,2,314,1,IN/Out,0
1,1,45,1,5,1,0.889,0,0,2,314,1,IN/Out,0
1,4,70,2,5,1,0.518,0,0,2,314,1,leading/trailing,0
1,1,36,1,5,1,0.759,0,0,2,314,1,IN/Out,0
1,3,7,1,7,1,0.943,0,0,2,314,1,leading/trailing,0
1,1,175,2,3,1,0.828,0,0,3,314,1,IN/Out,0
1,2,95,1,4,1,0.688,0,0,3,314,1,IN/Out,0
1,1,97,3,3,1,3.45,0,0,3,315,1,IN/Out,2
1,1,899,3,5,1,0.776,0,0,3,315,1,IN/Out,2
1,2,70,2,7,1,1.59,0,0,2,315,1,IN/Out,2
0,1,37,2,2,1,0.849,0,0,2,315,1,IN/Out,2
1,3,3,1,7,1,1.54,0,0,2,315,1,leading/trailing,2
0,2,842,2,1,1,0.856,0,0,3,315,1,IN/Out,2
1,2,53,1,7,1,0.888,0,0,2,315,1,IN/Out,2
1,4,320,3,6,1,0.789,0,0,3,315,1,leading/trailing,2
1,3,3,1,7,1,2.41,0,0,2,315,1,leading/trailing,2
1,1,71,1,4,1,1.19,0,0,2,315,1,IN/Out,2
1,2,920,2,7,1,1.33,0,0,3,315,1,IN/Out,2
1,4,920,3,5,1,0.767,0,0,3,315,1,leading/trailing,2
1,2,24,1,7,1,1.98,0,0,2,315,1,IN/Out,2
0,3,3,1,1,1,1.52,0,0,2,315,1,leading/trailing,2
0,1,87,1,2,1,1.09,0,0,2,315,1,IN/Out,2
1,1,73,2,5,1,1.22,0,0,2,315,1,IN/Out,2
1,4,90,2,4,1,0.934,0,0,2,315,1,leading/trailing,2
1,2,935,3,4,1,0.888,0,0,3,315,1,IN/Out,2
1,4,240,3,4,1,0.74,0,0,3,315,1,leading/trailing,2
1,2,12,1,5,1,0.871,0,0,2,315,1,IN/Out,2
1,1,215,1,3,1,0.955,0,0,3,315,1,IN/Out,2
1,3,28,1,7,1,1.2,0,0,3,315,1,leading/trailing,2
0,4,940,3,1,1,0.814,0,0,3,315,1,leading/trailing,2
0,4,90,2,1,1,1.16,0,0,2,315,1,leading/trailing,2
0,1,700,1,2,1,1.53,0,0,3,315,1,IN/Out,2
1,4,50,2,6,1,1.32,0,0,2,315,1,leading/trailing,2
1,2,63,2,7,1,1.36,0,0,2,315,1,IN/Out,2
0,3,51,1,1,1,1.83,0,0,3,315,1,leading/trailing,2
0,1,219,3,2,1,0.799,0,0,3,315,1,IN/Out,2
1,2,61,2,6,1,1.08,0,0,3,315,1,IN/Out,2
1,2,99,1,7,1,2.23,0,0,3,315,1,IN/Out,2
0,4,10,2,1,1,1.39,0,0,2,315,1,leading/trailing,2
1,4,290,3,5,1,1.02,0,0,3,315,1,leading/trailing,2
1,1,364,1,4,1,1.02,0,0,3,315,1,IN/Out,2
1,4,110,3,6,1,0.76,0,0,3,315,1,leading/trailing,2
1,1,537,2,3,1,0.713,0,0,3,315,1,IN/Out,2
1,4,890,3,7,1,1.13,0,0,3,315,1,leading/trailing,2
1,3,1,1,6,1,1.07,0,0,2,315,1,leading/trailing,2
1,4,740,3,7,1,0.939,0,0,3,315,1,leading/trailing,2
1,3,94,1,7,1,1.99,0,0,3,315,1,leading/trailing,2
1,1,944,1,4,1,0.949,0,0,3,315,1,IN/Out,2
0,1,69,2,2,1,1.19,0,0,2,315,1,IN/Out,2
0,1,61,1,2,1,0.786,0,0,2,315,1,IN/Out,2
1,2,959,2,4,1,1.26,0,0,3,315,1,IN/Out,2
1,1,58,2,4,1,0.676,0,0,2,315,1,IN/Out,2
1,1,38,2,3,1,0.534,0,0,2,315,1,IN/Out,2
1,2,902,3,6,1,0.891,0,0,3,315,1,IN/Out,2
1,2,81,2,6,1,0.824,0,0,2,315,1,IN/Out,2
1,3,6,1,6,1,0.879,0,0,2,315,1,leading/trailing,2
1,4,260,3,6,1,2.64,0,0,3,315,1,leading/trailing,2
